編號,執行機關,名稱,年度,計畫總金額,中央補助總額,地方自籌總額,計畫年度經費,中央年度補助款,地方年度自籌款,執行廠商
1,基隆市,運輸走廊壅塞改善計畫－北部濱海公路基金路段壅塞走廊ITS智慧運輸系統建置計畫,106,"11,400,000","8,000,000","3,400,000","11,400,000","8,000,000","3,400,000",中華電信股份有限公司數據通信分公司
2,臺北市,臺北市運輸走廊整合道路交通與電信資訊應用計畫,106,"4,014,362","2,000,000","2,014,362","4,014,362","2,000,000","2,014,362",鼎漢國際工程顧問股份有限公司
3,臺北市,臺北市市區公車駕車安全試辦計畫,106,"5,000,000","2,500,000","2,500,000","5,000,000","2,500,000","2,500,000",佳駿科技有限公司
4,臺北市,智慧路口安全警示系統建置計畫,106,"28,000,000","14,000,000","14,000,000","28,000,000","14,000,000","14,000,000",全徽道安科技股份有限公司
5,桃園市,無人車試驗計畫,106,"500,000","375,000","125,000","500,000","375,000","125,000",社團法人中華智慧運輸協會
6,桃園市,桃園市客運車輛安全系統建置計畫,106,"3,340,000","2,500,000","840,000","3,340,000","2,500,000","840,000",銓鼎科技股份有限公司
7,新竹市,大新竹(新竹縣、新竹市)運輸走廊整合道路交通與電信資訊應用計畫(含OD調查),106,"17,780,000","16,000,000","1,780,000","17,780,000","16,000,000","1,780,000",創新交通科技有限公司
8,新竹縣,新竹縣尖石鄉DRTS營運改善計畫,106,"2,875,000","2,500,000","375,000","2,875,000","2,500,000","375,000",全波科技股份有限公司、資策會
9,臺中市,國一暨台74匝道及平面聯絡道號誌協控計畫,106,"33,333,500","25,000,000","8,333,500","33,333,500","25,000,000","8,333,500",遠傳電信股份有限公司系統整合分公司
10,臺中市,智慧路口安全警示系統建置計畫,106,"2,670,000","2,000,000","670,000","2,670,000","2,000,000","670,000",全徽道安科技股份有限公司
11,彰化縣,106年度鹿港鎮動態停車資訊導引系統建置計畫,106,"2,300,000","2,000,000","300,000","2,300,000","2,000,000","300,000",鼎漢國際工程顧問股份有限公司
12,雲林縣,雲林縣智慧交通中心建置計畫,106,"3,334,000","3,000,000","334,000","3,334,000","3,000,000","334,000",台灣世曦工程顧問股份有限公司
13,嘉義縣,嘉義地區整合式交通控制系統建置計畫,106,"9,941,700","8,811,300","1,130,400","9,941,700","8,811,300","1,130,400",理太科技股份有限公司
14,臺南市,臺南市運輸走廊壅塞改善計畫,106,"12,500,000","7,000,000","5,500,000","12,500,000","7,000,000","5,500,000",康地科技顧問股份有限公司
15,臺南市,大臺南智慧交通中心建置計畫,106,"22,562,500","8,000,000","14,562,500","22,562,500","8,000,000","14,562,500",資拓宏宇國際股份有限公司(代表廠商)
16,高雄市,車路協同設計與實作-以輕軌一階段沿線及中山路易肇事路口為例,106,"10,500,000","9,000,000","1,500,000","10,500,000","9,000,000","1,500,000",鼎漢國際工程顧問股份有限公司
17,高雄市,都市偏鄉多元運具行動服務,106,"4,118,000","3,500,000","618,000","4,118,000","3,500,000","618,000",景翊科技股份有限公司
18,宜蘭縣,宜蘭縣智慧運輸系統發展計畫,106,"22,222,223","20,000,000","2,222,223","22,222,223","20,000,000","2,222,223",逢甲大學
19,嘉義市,嘉義地區整合式交通控制系統建置計畫,106,"5,822,020","4,188,700","1,633,320","5,822,020","4,188,700","1,633,320",理太科技股份有限公司
20,本部,車聯網技術應用於機車安全改善之研究與場域試驗計畫,106,"17,000,000","17,000,000",0,"17,000,000","17,000,000",0,台灣車聯網產業協會
21,本部,花東地區智慧交通輔導及研究發展計畫,106,"5,000,000","5,000,000",0,"5,000,000","5,000,000",0,鼎漢國際工程顧問股份有限公司
22,本部,臺北都會區及宜蘭縣交通行動服務建置及經營計畫(1/3),106,"20,000,000","20,000,000",0,"20,000,000","20,000,000",0,中華電信股份有限公司數據通信分公司
23,本部,「臺北都會區及宜蘭縣交通行動服務建置及經營計畫」之獨立驗證及確認委外服務案,106,"3,000,000","3,120,000",0,"3,000,000","3,120,000",0,迪悌資訊顧問股份有限公司
24,本部,前瞻智慧運輸發展與安全評量技術研究發展計畫(1/4),106,"4,400,000","4,400,000",0,"4,400,000","4,400,000",0,財團法人中華顧問工程司
25,本部,智慧車輛法規技術諮詢與管理計畫(1/4),106,"3,850,000","3,850,000",0,"3,850,000","3,850,000",0,財團法人車輛安全審驗中心
26,本部,106年度交通數據匯流平臺建置案,106,"5,000,000","4,900,000",0,"5,000,000","4,900,000",0,資拓宏宇國際股份有限公司
27,基隆市,北部濱海公路基金路段壅塞走廊ITS智慧運輸系統建置計畫,107,"16,200,000","12,800,000","3,400,000","11,340,000","8,960,000","2,380,000",中華電信股份有限公司數據通信分公司
28,基隆市,北部濱海公路基金路段壅塞走廊ITS智慧運輸系統建置計畫,108,"16,200,000","12,800,000","3,400,000","4,860,000","3,840,000","1,020,000",中華電信股份有限公司數據通信分公司
29,基隆市,基隆市DRTS營運改善計畫,107,"5,000,000","4,250,000","750,000","5,000,000","4,250,000","750,000",台灣車聯網產業協會
30,基隆市,首都生活圈觀光重點遊憩場域交通管理計畫,107,"15,465,000","13,008,000","2,457,000","15,465,000","13,008,000","2,457,000",鼎漢國際工程顧問股份有限公司
31,基隆市,基隆市自動駕駛車建置營運規劃計畫,107,"5,900,000","5,000,000","900,000","5,900,000","5,000,000","900,000",亞聯工程顧問股份有限公司
32,新北市,新北市運輸走廊整合道路交通與多元資訊應用計畫,107,"32,000,000","24,000,000","8,000,000","32,000,000","24,000,000","8,000,000",資拓宏宇國際股份有限公司
33,新北市,新北市市區公車行駛高(快)速道路駕車安全計畫,107,"24,000,000","10,000,000","14,000,000","2,000,000","1,500,000","500,000",銓鼎科技股份有限公司
34,新北市,新北市市區公車行駛高(快)速道路駕車安全計畫,108,"24,000,000","10,000,000","14,000,000","8,000,000","6,000,000","2,000,000",銓鼎科技股份有限公司
35,臺北市,臺北市手搖式智慧型站牌試辦計畫(107年),107,"2,500,000","1,250,000","1,250,000","2,500,000","1,250,000","1,250,000",亞旭電腦股份有限公司
36,臺北市,聯合運輸管理與輿情潛在交通事件預警計畫,107,"9,561,662","4,780,831","4,780,831","9,561,662","4,780,831","4,780,831",資拓宏宇國際股份有限公司
37,臺北市,臺北市智慧公車試辦計畫,107,"5,000,000","2,500,000","2,500,000","5,000,000","2,500,000","2,500,000",遠傳電信股份有限公司系統整合分公司
38,桃園市,桃園市客運車輛安全系統建置計畫,107,"5,340,000","4,000,000","1,340,000","1,068,000","800,000","268,000",銓鼎科技股份有限公司
39,桃園市,桃園市客運車輛安全系統建置計畫,108,"5,340,000","4,000,000","1,340,000","4,272,000","3,200,000","1,072,000",銓鼎科技股份有限公司
40,桃園市,無人車試驗計畫,107,"6,670,000","5,000,000","1,670,000","6,670,000","5,000,000","1,670,000",社團法人中華智慧運輸協會
41,桃園市,交通安全路口防護計畫,107,"26,670,000","20,000,000","6,670,000","26,670,000","20,000,000","6,670,000",中華電信股份有限公司臺灣北區電信分公司
42,新竹縣,新竹縣智慧道路安全警示系統建置計畫,107,"9,412,000","8,000,000","1,412,000","9,412,000","8,000,000","1,412,000",建程科技股份有限公司
43,新竹縣,新竹縣尖石鄉公共運輸改善計畫,107,"6,200,000","5,270,000","930,000","6,200,000","5,270,000","930,000",精繪科技有限公司
44,新竹市,大新竹運輸走?整合道?交通與電信資訊應用計畫,107,"26,670,000","24,000,000","2,670,000","26,670,000","24,000,000","2,670,000",創新交通科技有限公司
45,臺中市,智慧路口安全警示系統建置計畫,107,"4,270,000","3,200,000","1,070,000","4,270,000","3,200,000","1,070,000",全徽道安科技有限公司
46,臺中市,國一暨台 74 匝道及平面聯絡道號誌協控計畫,107,"53,334,000","40,000,000","13,334,000","37,437,000","28,077,400","9,359,600",遠傳電信股份有限公司系統整合分公司
47,臺中市,國一暨台 74 匝道及平面聯絡道號誌協控計畫,108,"53,334,000","40,000,000","13,334,000","15,897,000","11,922,600","3,974,400",遠傳電信股份有限公司系統整合分公司
48,臺中市,水湳智慧城自駕車試運行計畫,107,"7,000,000","5,250,000","1,265,000","4,240,000","3,675,000","565,000",豐榮汽車客運股份有限公司
49,臺中市,水湳智慧城自駕車試運行計畫,108,"7,000,000","5,250,000","1,265,000","2,760,000","1,575,000","700,000",豐榮汽車客運股份有限公司
50,臺中市,水湳智慧城智慧運輸計畫,107,"4,000,000","3,000,000","1,000,000","888,000","688,000","200,000",逢甲大學
51,臺中市,水湳智慧城智慧運輸計畫,108,"4,000,000","3,000,000","1,000,000","3,112,000","2,312,000","800,000",逢甲大學
52,臺中市,主要幹道智慧化動態續進號誌計畫,107,"19,136,000","14,352,000","4,784,000","4,000,000","3,000,000","1,000,000",鼎漢國際工程顧問股份有限公司
53,臺中市,主要幹道智慧化動態續進號誌計畫,108,"19,136,000","14,352,000","4,784,000","12,298,000","9,223,500","3,074,500",鼎漢國際工程顧問股份有限公司
54,臺中市,主要幹道智慧化動態續進號誌計畫,109,"19,136,000","14,352,000","4,784,000","2,838,000","2,128,500","709,500",鼎漢國際工程顧問股份有限公司
55,南投縣,南投縣106-107年度溪頭運輸走廊壅塞改善計畫,107,"5,560,000","5,000,000","560,000","5,560,000","5,000,000","560,000",車流科技有限公司
56,彰化縣,鹿港鎮動態停車資訊導引系統建置案,107,"16,700,000","15,000,000","1,700,000","16,700,000","15,000,000","1,700,000",遠傳電信股份有限公司系統整合分公司
57,雲林縣,雲林縣智慧交通中心建置計畫,108,"16,007,000","15,000,000","1,667,000","11,340,000","11,340,000",0,逢甲大學
58,雲林縣,雲林縣智慧交通中心建置計畫,107,"16,007,000","15,000,000","1,667,000","4,667,000","3,660,000","1,667,000",逢甲大學
59,嘉義縣,107年度嘉義地區整合式交通控制系統建置計畫(嘉義縣),107,"13,012,000","11,698,000","1,314,000","13,012,000","11,698,000","1,314,000",中華電信股份有限公司數據通信分公司
60,嘉義市,107年度嘉義地區整合式交通控制系統建置計畫(嘉義市),107,"10,846,688","9,102,000","1,744,688","10,846,688","9,102,000","1,744,688",中華電信股份有限公司數據通信分公司
61,臺南市,臺南市運輸走廊壅塞改善計畫,107,"16,700,000","11,200,000","5,500,000","16,700,000","11,200,000","5,500,000",康地科技顧問股份有限公司
62,臺南市,大臺南智慧交通中心建置計畫,107,"53,437,500","11,400,000","42,037,500","53,437,500","11,400,000","42,037,500",資拓宏宇國際股份有限公司(代表廠商)
63,高雄市,都市偏鄉多元運具行動服務,107,"4,706,000","4,000,000","706,000","4,706,000","4,000,000","706,000",景翊科技股份有限公司
64,高雄市,車路協同設計與實作-以輕軌一階段沿線路口為例,107,"14,118,000","12,000,000","2,118,000","7,059,000","6,000,000","1,059,000",鼎漢國際工程顧問股份有限公司
65,高雄市,車路協同設計與實作-以輕軌一階段沿線路口為例,108,"14,118,000","12,000,000","2,118,000","7,059,000","6,000,000","1,059,000",鼎漢國際工程顧問股份有限公司
66,高雄市,高雄市自動駕駛電動巴士系統試運行計畫,107,"9,412,000","8,000,000","1,412,000","9,412,000","8,000,000","1,412,000",鼎漢國際工程顧問股份有限公司
67,屏東縣,台 1 線幹道運輸走廊壅塞改善計畫,106,"27,380,000","26,000,000","1,380,000","10,530,000","10,000,000","530,000",台灣世曦工程顧問股份有限公司
68,屏東縣,台 1 線幹道運輸走廊壅塞改善計畫,107,"27,380,000","26,000,000","1,380,000","16,850,000","16,000,000","850,000",台灣世曦工程顧問股份有限公司
69,屏東縣,「屏東縣道路資訊管理平台」系統升級暨圖台改版計畫,107,"56,637,000","53,805,150","2,831,850","56,637,000","53,805,150","2,831,850",坤眾科技股份有限公司
70,宜蘭縣,宜蘭地區交通控制系統建置計畫,107,"35,555,556","32,000,000","3,555,556","24,888,889","22,400,000","2,488,889",全徽道安科技股份有限公司
71,宜蘭縣,宜蘭地區交通控制系統建置計畫,108,"35,555,556","32,000,000","3,555,556","10,666,667","9,600,000","1,066,667",全徽道安科技股份有限公司
72,花蓮縣,花蓮縣先進交通管理系統整體規劃暨號誌清查與時制重整計畫,107,"5,264,000","5,000,000","264,000","5,264,000","5,000,000","264,000",輿智資通科技股份有限公司
73,臺東縣,臺東縣先進交通管理系統整體規劃與多元交通數據蒐集計畫,107,"5,270,000","5,000,000","270,000","5,270,000","5,000,000","270,000",鼎漢國際工程顧問股份有限公司
74,屏東縣,台灣燈會交通管理系統暨手機應用程式擴充計畫,107,"9,550,000","9,072,500","477,500","6,688,731","6,354,294","334,437",台灣世曦工程顧問股份有限公司
75,屏東縣,台灣燈會交通管理系統暨手機應用程式擴充計畫,108,"9,550,000","9,072,500","477,500","2,861,269","2,718,206","143,063",台灣世曦工程顧問股份有限公司
76,基隆市,智慧基隆交通AIOT戰情室系統計畫,107,"3,530,000","3,000,000","530,000","3,530,000","3,000,000","530,000",台灣車聯網產業協會
77,臺北市,臺北市107年智慧型站牌建置計畫,107,"33,401,162","11,100,000","22,301,162","33,401,162","11,100,000","22,301,162",亞旭電腦股份有限公司
78,基隆市,首都生活圈觀光重點遊憩場域交通管理計畫,108,"16,408,000","13,008,000","3,400,000","3,281,600","2,601,600","680,000",鼎漢
79,基隆市,首都生活圈觀光重點遊憩場域交通管理計畫,109,"16,408,000","13,008,000","3,400,000","13,126,400","10,406,400","2,720,000",鼎漢
80,臺北市,聯合運輸管理與輿情潛在交通事件預警計畫,107,"17,500,000","9,296,149","8,203,851","9,296,149","4,648,074","4,648,075",資拓宏宇國際股份有限公司
81,臺北市,聯合運輸管理與輿情潛在交通事件預警計畫,108,"17,500,000","9,296,149","8,203,851","8,203,851","3,129,714","5,074,137",資拓宏宇國際股份有限公司
82,屏東縣,「屏東縣道路資訊管理平台」系統升級暨圖台改版計畫,108,"7,049,000","4,000,000","3,049,000","7,049,000","4,000,000","3,049,000",坤眾科技股份有限公司
83,臺北市,臺北市重點區域導入智慧化動態號誌控制策略計畫,108,"41,696,000","20,848,000","20,848,000","41,696,000","20,848,000","20,848,000",景翊科技股份有限公司
84,臺北市,臺北市太陽能智慧型站牌試辦計畫(108年),108,"2,500,000","1,250,000","1,250,000","2,500,000","1,250,000","1,250,000",亞旭電腦股份有限公司
85,臺北市,利用物聯網科技與智慧手機協助視障者搭乘公車智慧交通安全試辦計畫,108,"6,200,000","3,000,000","3,200,000","6,200,000","3,000,000","3,200,000",資拓宏宇國際股份有限公司
86,臺北市,臺北市運輸走廊整合道路交通與電信資訊應用暨主次要幹道行駛時間分析系統建置計畫,108,"20,650,000","10,000,000","10,650,000","20,650,000","10,000,000","10,650,000",遠傳、鼎漢
87,新北市,新北市運輸走廊整合道路交通與多元資訊應用計畫,108,"20,000,000","15,000,000","5,000,000",0,"4,500,000",0,資拓宏宇國際股份有限公司
88,新北市,新北市運輸走廊整合道路交通與多元資訊應用計畫,109,"20,000,000","15,000,000","5,000,000","20,000,000","15,000,000","5,000,000",資拓宏宇國際股份有限公司
89,桃園市,桃園市新式節能站牌建置計畫,108,"10,000,000","7,500,000","2,500,000","10,000,000","7,500,000","2,500,000",遠傳電信股份有限公司系統整合分公司
90,桃園市,108年度智慧交通安全路口防護試辦計畫,108,"25,000,000","16,000,000","9,000,000","20,000,000","12,800,000","7,200,000",中華電信股份有限公司臺灣北區電信分公司
